,0,1,2,3,4,5,6,7,8,9,10,11,12,13
2020-07-01,10,15.0,20.0,31.0,35.0,41.0,48.0,50.0,53.0,55.0,59.0,61.0,62.0,63.0
2020-07-02,14,25.0,23.0,29.0,38.0,37.0,45.0,45.0,48.0,51.0,52.0,55.0,57.0,59.0
2020-07-03,11,12.0,15.0,16.0,22.0,27.0,34.0,40.0,41.0,41.0,44.0,46.0,47.0,48.0
2020-07-04,7,22.0,16.0,18.0,26.0,34.0,37.0,42.0,44.0,46.0,45.0,48.0,47.0,47.0
2020-07-05,6,11.0,10.0,8.0,13.0,20.0,26.0,30.0,36.0,40.0,44.0,46.0,46.0,47.0
2020-07-06,4,10.0,19.0,22.0,33.0,52.0,60.0,63.0,69.0,76.0,78.0,81.0,83.0,84.0
2020-07-07,4,13.0,16.0,18.0,25.0,33.0,38.0,54.0,57.0,61.0,65.0,69.0,72.0,72.0
2020-07-08,1,14.0,13.0,19.0,33.0,38.0,42.0,57.0,64.0,71.0,74.0,81.0,83.0,86.0
2020-07-09,6,28.0,26.0,36.0,46.0,59.0,63.0,60.0,65.0,73.0,78.0,83.0,86.0,87.0
2020-07-10,3,22.0,36.0,41.0,49.0,61.0,68.0,80.0,89.0,96.0,100.0,101.0,99.0,104.0
2020-07-11,6,18.0,38.0,39.0,55.0,71.0,77.0,93.0,100.0,107.0,110.0,113.0,113.0,
2020-07-12,16,19.0,23.0,35.0,52.0,65.0,81.0,86.0,92.0,101.0,104.0,106.0,,
2020-07-13,0,24.0,27.0,33.0,42.0,66.0,85.0,102.0,111.0,122.0,131.0,,,
2020-07-14,5,20.0,26.0,36.0,57.0,75.0,88.0,102.0,113.0,119.0,,,,
2020-07-15,9,45.0,50.0,61.0,81.0,127.0,147.0,165.0,170.0,,,,,
2020-07-16,14,34.0,28.0,35.0,56.0,86.0,106.0,112.0,,,,,,
2020-07-17,14,43.0,58.0,59.0,85.0,100.0,118.0,,,,,,,
2020-07-18,0,25.0,30.0,44.0,57.0,73.0,,,,,,,,
2020-07-19,4,41.0,42.0,64.0,81.0,,,,,,,,,
2020-07-20,15,32.0,34.0,50.0,,,,,,,,,,
2020-07-21,12,43.0,57.0,,,,,,,,,,,
2020-07-22,15,51.0,,,,,,,,,,,,
2020-07-23,16,,,,,,,,,,,,,
